,name,title,latitude,longtitude,address1,address2,address3,city,zip_code,country,state,display_address
21197,Coffee Cup Cafe,"['Breakfast & Brunch', 'Cafes', 'American (Traditional)']",40.1592597961426,-74.9118576049805,77 Bellevue Ave,,,Langhorne,19047,US,PA,"77 Bellevue Ave Langhorne, PA 19047 "
21198,Jay's Steak & Hoagie Joint,"['Cheesesteaks', 'American (Traditional)', 'Gluten-Free']",40.15905,-74.9331,1205 Highland Ave,,,Parkland,19047,US,PA,"1205 Highland Ave Parkland, PA 19047 "
21199,Tummy Yummies,"['Pizza', 'Salad', 'Sandwiches']",40.159036,-74.910991,33 E Lincoln Hwy,,,Penndel,19047,US,PA,"33 E Lincoln Hwy Penndel, PA 19047 "
21200,Take A Taste Cafe,"['Cafes', 'Sandwiches', 'Delis']",40.1618301501202,-74.9075460853777,407 E Lincoln Hwy,,,Langhorne,19047,US,PA,"407 E Lincoln Hwy Langhorne, PA 19047 "
21201,Frey's Deli And Pizza,"['Delis', 'Pizza', 'Salad']",40.1563563362663,-74.920095776581,401 W Lincoln Hwy,,,Penndel,19047,US,PA,"401 W Lincoln Hwy Penndel, PA 19047 "
21202,Paul's Penndel Pizza,"['Pizza', 'Salad', 'Sandwiches']",40.15858,-74.91234,15 W Lincoln Hwy,,,Langhorne,19047,US,PA,"15 W Lincoln Hwy Langhorne, PA 19047 "
21203,Hong Kong Pearl Restaurant,['Chinese'],40.167383,-74.895122,1299 Lincoln Hwy,,,Levittown,19056,US,PA,"1299 Lincoln Hwy Levittown, PA 19056 "
21204,California Tortilla,['Mexican'],40.167509,-74.895106,Langhorne Square 1295 East Lincoln Hwy,,Langhorne Square,Levittown,19056,US,PA,"Langhorne Square 1295 East Lincoln Hwy Langhorne Square Levittown, PA 19056 "
21205,Home Place Restaurant,"['Breakfast & Brunch', 'Diners', 'American (New)']",40.1357738965169,-74.9420249462128,3334 Bristol Rd,,,Bensalem,19020,US,PA,"3334 Bristol Rd Bensalem, PA 19020 "
21206,Super Wok,['Chinese'],40.1561899660785,-74.8949430688476,939 New Rodgers Rd,,,Levittown,19056,US,PA,"939 New Rodgers Rd Levittown, PA 19056 "
21207,Happy Hour Tavern,"['Dive Bars', 'American (Traditional)', 'Delis']",40.156375,-74.895095,929 Veterans Hwy,,,Levittown,19056,US,PA,"929 Veterans Hwy Levittown, PA 19056 "
21208,Zeeno's Pizza,['Pizza'],40.159856,-74.912054,23 Bellevue Ave,,,Penndel,19047,US,PA,"23 Bellevue Ave Penndel, PA 19047 "
21209,Wing Squad,"['Food Delivery Services', 'Chicken Wings']",40.1744554273235,-74.9225377539673,,,,Langhorne,19047,US,PA,"Langhorne, PA 19047 "
21210,Denny's,"['American (Traditional)', 'Breakfast & Brunch', 'Diners']",40.164084,-74.9046980573636,640 E Lincoln Hwy,,,Langhorne,19047,US,PA,"640 E Lincoln Hwy Langhorne, PA 19047 "
